Date,Ticker,Cost Ratio (%),Debt-Service Coverage Ratio,FFO per Share,FY Dividend Yield (%),Gearing Ratio (%),NAV per Share,Net Operating Income,Net Stock Issuance,PB Ratio,Return Percentage,Buy_Hold_Sell
2020-12-01,8U7U.SI,0.1698271793669188,0.3014263448658846,0.52130553176726,0.3020033463161084,0.2816779416950514,0.1609291652804586,0.0042039939989725,0.0788200953072779,0.0586322890208944,0.4421059521226139,0
2021-12-01,8U7U.SI,0.2217058940440614,0.36937346573637,0.6025168540679715,0.3020033463161084,0.2099522946023366,0.1892153531459325,0.0129565157472391,0.071301442924374,0.0586322890208944,0.4421059521226139,0
2022-12-01,8U7U.SI,0.2347095514140354,0.36937346573637,0.5310585237548325,0.2077421022344615,0.2089491830072543,0.1907187800730552,0.0186805517179271,0.0127093631041589,0.0682544428005458,0.373804288181067,0
2023-06-01,8U7U.SI,0.2347095514140354,0.36937346573637,0.5310585237548325,0.2077421022344615,0.2089491830072543,0.1907187800730552,0.0186805517179271,0.0127093631041589,0.066794682462475,0.3581089312862511,0
2023-12-01,8U7U.SI,0.2449002972378461,0.36937346573637,0.4318314802789643,0.1965217774966196,0.3810924856794211,0.1411695884828829,0.0206447352172848,0.0505829840557818,0.0602934689819196,0.3889268362151653,0
2019-01-01,ACV.SI,0.2449002972378461,0.36937346573637,0.4318314802789643,0.3189383713674945,0.3810924856794211,0.1411695884828829,0.0206447352172848,0.0505829840557818,0.0602934689819196,0.5661026800360757,0
2020-01-01,ACV.SI,0.2449002972378461,0.36937346573637,0.4318314802789643,0.0827348198638465,0.3810924856794211,0.1411695884828829,0.0206447352172848,0.0505829840557818,0.0602934689819196,0.3759819687897968,0
2021-01-01,ACV.SI,0.2449002972378461,0.36937346573637,0.4318314802789643,0.0740011869874406,0.3810924856794211,0.1411695884828829,0.0206447352172848,0.0505829840557818,0.0602934689819196,0.4523324671100021,0
2021-09-01,ACV.SI,0.3941342484103504,0.3031895953795528,0.51234043313186,0.0740011869874406,0.4930920228503912,0.2346697781025239,0.0330950251373188,0.0505829840557818,0.0602934689819196,0.7901250894088253,-1
2022-01-01,ACV.SI,0.3941342484103504,0.3031895953795528,0.51234043313186,0.151080593893669,0.4930920228503912,0.2346697781025239,0.0330950251373188,0.0505829840557818,0.0602934689819196,0.5106293143201365,0
2022-09-01,ACV.SI,0.335444059047259,0.3070583569555983,0.5322454792694455,0.151080593893669,0.3363336426783947,0.2341572925273963,0.0382316481198349,0.0505829840557818,0.0602934689819196,0.3386983660423507,0
2023-01-01,ACV.SI,0.335444059047259,0.3070583569555983,0.5322454792694455,0.2363015515119121,0.3363336426783947,0.2341572925273963,0.0382316481198349,0.0505829840557818,0.0602934689819196,0.6229684869244886,-1
2023-09-01,ACV.SI,0.3075864176157476,0.3066094232131858,0.5478650614456079,0.2363015515119121,0.2700673671458357,0.2406680788250615,0.0581538858290198,0.0505829840557818,0.0820934114643414,0.493467540723973,0
2024-01-01,ACV.SI,0.3075864176157476,0.3066094232131858,0.5478650614456079,0.1836793671218062,0.2700673671458357,0.2406680788250615,0.0581538858290198,0.0505829840557818,0.0820934114643414,0.6696761187392954,-1
2024-03-01,ACV.SI,0.3075864176157476,0.3066094232131858,0.5478650614456079,0.1836793671218062,0.2700673671458357,0.2406680788250615,0.0581538858290198,0.0505829840557818,0.0755157665309812,0.6281080888999574,-1
2024-09-01,ACV.SI,0.3400033657500028,0.3060535296878783,0.5143163509053619,0.1836793671218062,0.2950318950594555,0.2382081478971395,0.0644994470403868,0.0505829840557818,0.0806485614321559,0.6892453103907263,-1
2019-01-01,AJBU.SI,0.3400033657500028,0.3060535296878783,0.5143163509053619,0.3609077252161568,0.2950318950594555,0.2382081478971395,0.0644994470403868,0.0505829840557818,0.0806485614321559,0.92711965445424,-1
2020-01-01,AJBU.SI,0.3400033657500028,0.3060535296878783,0.5143163509053619,0.1403848263321262,0.2950318950594555,0.2382081478971395,0.0644994470403868,0.0505829840557818,0.0806485614321559,0.7562572696496122,-1
2021-01-01,AJBU.SI,0.3400033657500028,0.3060535296878783,0.5143163509053619,0.1835609598157592,0.2950318950594555,0.2382081478971395,0.0644994470403868,0.0505829840557818,0.0806485614321559,0.4650654202105271,0
2021-12-01,AJBU.SI,0.141240015936411,0.3049203832362321,0.6665984945514392,0.1835609598157592,0.2805989001076252,0.5035894571378015,0.1594440794433426,0.1638236238365839,0.0806485614321559,0.407676005898851,0
2022-01-01,AJBU.SI,0.141240015936411,0.3049203832362321,0.6665984945514392,0.1503884718673322,0.2805989001076252,0.5035894571378015,0.1594440794433426,0.1638236238365839,0.0806485614321559,0.3602316384306003,0
2022-12-01,AJBU.SI,0.1533568516914242,0.3019014821367005,0.6231679601879945,0.1503884718673322,0.3223665004262001,0.5295260024700825,0.1640103455639403,0.0127093631041589,0.0806485614321559,0.5616422773402738,0
2023-01-01,AJBU.SI,0.1533568516914242,0.3019014821367005,0.6231679601879945,0.2500343045362292,0.3223665004262001,0.5295260024700825,0.1640103455639403,0.0127093631041589,0.0806485614321559,0.6140167314823024,-1
2023-06-01,AJBU.SI,0.1533568516914242,0.3019014821367005,0.6231679601879945,0.2500343045362292,0.3223665004262001,0.5295260024700825,0.1640103455639403,0.0127093631041589,0.1866142517625516,0.4556268481732209,0
2023-12-01,AJBU.SI,0.1930285890260718,0.3018729821318293,0.564496099227605,0.2500343045362292,0.3507235583226691,0.5058536592042141,0.1677347212926633,0.0127093631041589,0.1780217983203451,0.6637266851361721,-1
2024-01-01,AJBU.SI,0.1930285890260718,0.3018729821318293,0.564496099227605,0.2787069503080373,0.3507235583226691,0.5058536592042141,0.1677347212926633,0.0127093631041589,0.1780217983203451,0.6383123669817172,-1
2024-06-01,AJBU.SI,0.1930285890260718,0.3018729821318293,0.564496099227605,0.2787069503080373,0.3507235583226691,0.5058536592042141,0.1677347212926633,0.0127093631041589,0.1632207782012341,0.5643782904514532,0
2024-12-01,AJBU.SI,0.2191825452613713,0.3047285594071752,0.6261755291043579,0.2787069503080373,0.1877921977562121,0.5828862666730593,0.1820755122466397,0.7533898292546888,0.1854734744378648,0.6602484851552528,-1
2025-01-01,AJBU.SI,0.2191825452613713,0.3047285594071752,0.6261755291043579,0.0,0.1877921977562121,0.5828862666730593,0.1820755122466397,0.7533898292546888,0.1854734744378648,0.6602484851552528,-1
2019-01-01,AU8U.SI,0.2191825452613713,0.3047285594071752,0.6261755291043579,0.5108498822536158,0.1877921977562121,0.5828862666730593,0.1820755122466397,0.7533898292546888,0.1854734744378648,0.6934708034696341,-1
2020-01-01,AU8U.SI,0.2191825452613713,0.3047285594071752,0.6261755291043579,0.3326884804847405,0.1877921977562121,0.5828862666730593,0.1820755122466397,0.7533898292546888,0.1854734744378648,0.4709477923262125,0
2020-12-01,AU8U.SI,0.2191825452613713,0.3047285594071752,0.6261755291043579,0.3326884804847405,0.1877921977562121,0.5828862666730593,0.1820755122466397,0.2539350129231461,0.1854734744378648,0.5324411244802522,0
2021-01-01,AU8U.SI,0.2191825452613713,0.3047285594071752,0.6261755291043579,0.2869302787879846,0.1877921977562121,0.5828862666730593,0.1820755122466397,0.2539350129231461,0.1854734744378648,0.4636334200733649,0
2021-12-01,AU8U.SI,0.3546654314981615,0.3034696795548747,0.5618248926329148,0.2869302787879846,0.3212827290851815,0.6711606203407912,0.2345005863896205,0.1236701439077759,0.1854734744378648,0.5329243264948551,0
2022-01-01,AU8U.SI,0.3546654314981615,0.3034696795548747,0.5618248926329148,0.2448071634838574,0.3212827290851815,0.6711606203407912,0.2345005863896205,0.1236701439077759,0.1854734744378648,0.511250654702581,0
2022-12-01,AU8U.SI,0.3554217838621611,0.3038480727171492,0.5700766296421109,0.2448071634838574,0.3608985881061879,0.6027711354765398,0.2388833285917302,0.0127093631041589,0.1854734744378648,0.3736068700481982,0
2023-01-01,AU8U.SI,0.3554217838621611,0.3038480727171492,0.5700766296421109,0.3029512979791779,0.3608985881061879,0.6027711354765398,0.2388833285917302,0.0127093631041589,0.1854734744378648,0.4472700218464279,0
2023-06-01,AU8U.SI,0.3554217838621611,0.3038480727171492,0.5700766296421109,0.3029512979791779,0.3608985881061879,0.6027711354765398,0.2388833285917302,0.0127093631041589,0.0708613972169962,0.3406975209474809,0
2023-12-01,AU8U.SI,0.343007213808815,0.3053426640156682,0.525268023746004,0.3029512979791779,0.4075861563325673,0.5365003222820551,0.2260557571589678,0.0127093631041589,0.0741124689809326,0.4856312113229894,0
2024-01-01,AU8U.SI,0.343007213808815,0.3053426640156682,0.525268023746004,0.2869168494881933,0.4075861563325673,0.5365003222820551,0.2260557571589678,0.0127093631041589,0.0741124689809326,0.4195827545009818,0
2024-06-01,AU8U.SI,0.343007213808815,0.3053426640156682,0.525268023746004,0.2869168494881933,0.4075861563325673,0.5365003222820551,0.2260557571589678,0.0127093631041589,0.0513476897063596,0.4535766177023917,0
2024-12-01,AU8U.SI,0.3545076467311105,0.3038648807777148,0.4954526111117213,0.2869168494881933,0.4114106704395934,0.5024070660412209,0.2105687945207535,0.0127093631041589,0.0652411176077071,0.509372403535187,0
2025-01-01,AU8U.SI,0.3545076467311105,0.3038648807777148,0.4954526111117213,0.1422412538666644,0.4114106704395934,0.5024070660412209,0.2105687945207535,0.0127093631041589,0.0652411176077071,0.509372403535187,0
2019-01-01,AW9U.SI,0.3545076467311105,0.3038648807777148,0.4954526111117213,0.6324410893309302,0.4114106704395934,0.5024070660412209,0.2105687945207535,0.0127093631041589,0.0652411176077071,0.579851346018015,0
2020-01-01,AW9U.SI,0.3545076467311105,0.3038648807777148,0.4954526111117213,0.3585146240571414,0.4114106704395934,0.5024070660412209,0.2105687945207535,0.0127093631041589,0.0652411176077071,0.0478011945259375,1
